  m             v             log10(rho)    log10(temp)   he4           c12           o16           ne20         mg24          si28          s32           ar36         ca40          ti44          cr48          fe52         fe54          ni56          ni57          ni58          ni59          ni60          ni61          ni62
  Msol          cm/s          g/cm^3        K
  1.03018e+00   1.79680e+09   9.68050e-01   7.40260e+00   1.04289e-13   9.96658e-07   8.19125e-06   2.77288e-10  1.52867e-05   5.59411e-01   2.97861e-01   5.13300e-02  3.76090e-02   2.16893e-05   1.89841e-04   2.08327e-03  2.29171e-02   2.61209e-02   7.80758e-04   1.65095e-03   5.38653e-07   3.68429e-08   4.85774e-10   9.49090e-10
  1.03764e+00   1.84280e+09   8.83680e-01   7.39710e+00   1.63764e-13   6.24220e-06   1.12738e-04   5.36363e-09  1.38702e-05   5.46007e-01   3.10345e-01   5.71078e-02  4.45449e-02   2.76011e-05   1.03906e-04   1.11535e-03  2.31230e-02   1.50632e-02   6.30665e-04   1.79773e-03   8.29188e-07   8.62788e-08   8.73295e-10   1.32206e-09
  1.04459e+00   1.89060e+09   8.17210e-01   7.38100e+00   2.35474e-13   2.34813e-05   3.93064e-03   1.70741e-07  1.74487e-05   5.44805e-01   3.15141e-01   5.90698e-02  4.67482e-02   2.96992e-05   3.14560e-05   2.95409e-04  2.34573e-02   4.14619e-03   3.69898e-04   1.93207e-03   1.90977e-06   4.58956e-07   2.29210e-09   1.81542e-09
  1.05104e+00   1.94070e+09   7.31640e-01   7.35820e+00   2.46656e-14   2.35120e-05   2.75862e-02   1.24949e-06  4.45681e-05   5.59215e-01   3.00581e-01   5.23512e-02  3.83603e-02   2.24296e-05   3.35410e-06   5.95459e-06  2.01606e-02   8.62306e-05   3.14768e-05   1.50953e-03   9.38059e-06   8.38336e-06   1.70272e-09   2.02381e-10
  1.05701e+00   1.99330e+09   6.53490e-01   7.33070e+00   2.71655e-15   1.91140e-05   8.15600e-02   4.04857e-06  9.32172e-05   5.43592e-01   2.80944e-01   4.69984e-02  3.28926e-02   1.81446e-05   1.86879e-06   9.95300e-07  1.29355e-02   1.21752e-05   8.58543e-06   8.86846e-04   1.12543e-05   2.11688e-05   4.44601e-09   5.19426e-10
  1.06251e+00   2.04940e+09   5.71700e-01   7.30480e+00   3.97715e-16   1.52731e-05   1.69228e-01   9.35825e-06  1.56678e-04   4.93936e-01   2.56439e-01   4.30486e-02  2.98898e-02   1.63800e-05   1.46400e-06   3.71063e-07  6.75683e-03   3.13873e-06   3.11884e-06   4.65072e-04   8.49963e-06   2.32759e-05   6.14740e-09   1.01096e-09
  1.06755e+00   2.10610e+09   4.98940e-01   7.26850e+00   9.52973e-17   1.26576e-05   2.79393e-01   1.68100e-05  2.29567e-04   4.33492e-01   2.22220e-01   3.68037e-02  2.45765e-02   1.32640e-05   1.05829e-06   1.74052e-07  3.00333e-03   8.65174e-07   1.09920e-06   2.12473e-04   5.12786e-06   1.75446e-05   5.92199e-09   1.25240e-09
  1.07216e+00   2.16450e+09   4.85970e-01   7.23230e+00   3.64967e-17   1.10796e-05   3.94978e-01   2.46347e-05  3.11036e-04   3.79270e-01   1.80283e-01   2.76389e-02  1.60897e-02   8.12990e-06   5.57108e-07   6.78886e-08  1.27574e-03   2.23456e-07   3.61096e-07   9.27189e-05   2.97477e-06   1.28063e-05   5.75642e-09   1.55901e-09
  1.07634e+00   2.22600e+09   4.83570e-01   7.11790e+00   2.14121e-17   1.03734e-05   4.90375e-01   3.00208e-05  3.97248e-04   3.41382e-01   1.40251e-01   1.85287e-02  8.25552e-03   3.74985e-06   2.05868e-07   1.82169e-08  6.65157e-04   6.79177e-08   1.47261e-07   6.02607e-05   2.74348e-06   3.79448e-05   2.31147e-08   8.51463e-09
  1.08010e+00   2.28930e+09   2.55200e-01   7.19430e+00   1.82071e-17   1.03789e-05   5.57093e-01   3.21910e-05  4.88733e-04   3.18080e-01   1.08241e-01   1.18030e-02  3.66364e-03   1.50310e-06   6.16154e-08   3.73565e-09  2.99337e-04   1.92339e-08   6.43942e-08   5.27207e-05   4.35315e-06   2.29805e-04   1.85069e-07   9.13613e-08
  1.08348e+00   2.35140e+09   1.72020e-01   7.13650e+00   2.04730e-17   1.09549e-05   5.98887e-01   3.25479e-05  6.38363e-04   3.03007e-01   8.70646e-02   7.95013e-03  1.70152e-03   6.59521e-07   2.16022e-08   1.13509e-09  9.07016e-05   4.43978e-09   2.31804e-08   3.78477e-05   6.21369e-06   5.71192e-04   5.68218e-07   3.59561e-07
  1.08648e+00   2.42000e+09   5.07450e-02   7.12410e+00   2.91552e-17   1.19858e-05   6.23155e-01   3.13598e-05  2.25069e-03   2.90087e-01   7.63715e-02   6.23664e-03  9.32061e-04   3.30219e-07   1.20835e-08   6.98484e-10  2.62066e-05   9.95471e-10   6.88245e-09   2.61873e-05   7.45456e-06   8.52316e-04   9.80406e-07   1.01173e-05
  1.08912e+00   2.49840e+09  -8.22850e-02   7.12510e+00   4.72644e-17   1.34592e-05   6.37558e-01   2.91875e-05  7.23644e-03   2.71483e-01   7.54190e-02   6.56597e-03  6.71942e-04   2.13391e-07   1.08675e-08   5.92257e-10  1.38011e-05   3.21516e-10   1.90486e-09   1.55126e-05   6.33997e-06   8.25908e-04   1.17353e-06   1.59188e-04
  1.09141e+00   2.58610e+09  -2.25560e-01   7.12820e+00   1.00753e-16   1.87640e-05   6.45617e-01   2.76606e-05  1.29241e-02   2.54331e-01   7.79499e-02   7.70127e-03  5.63224e-04   2.58707e-07   1.08147e-08   5.44277e-10  1.08910e-05   2.04236e-10   7.40495e-10   5.43657e-06   3.14541e-06   4.90845e-04   1.03312e-06   3.55226e-04
  1.09339e+00   2.68390e+09  -3.86320e-01   7.14530e+00   1.62681e-15   1.10412e-04   6.51447e-01   3.40878e-05  1.49639e-02   2.40575e-01   8.25184e-02   9.18869e-03  5.72402e-04   8.80935e-07   1.26936e-08   5.81657e-10  1.06788e-05   2.34497e-10   6.58258e-10   2.24428e-06   1.37850e-06   2.53933e-04   7.61186e-07   3.20223e-04
  1.09506e+00   2.79840e+09  -5.69520e-01   7.13340e+00   6.14133e-14   6.09955e-04   6.55435e-01   7.85535e-05  1.63556e-02   2.33900e-01   8.32737e-02   9.44454e-03  5.12158e-04   1.96277e-06   1.42411e-08   5.82818e-10  8.21650e-06   2.41033e-10   6.12972e-10   1.45559e-06   8.61352e-07   1.65013e-04   6.69441e-07   2.12645e-04
  1.09644e+00   2.93490e+09  -7.60700e-01   7.10410e+00   1.16008e-12   2.07937e-03   6.58727e-01   3.89653e-04  1.69860e-02   2.28956e-01   8.29413e-02   9.21291e-03  4.65247e-04   2.79307e-06   1.51719e-08   6.55503e-10  6.38321e-06   2.31129e-10   7.92753e-10   1.15365e-06   7.70246e-07   1.03183e-04   1.01602e-06   1.27932e-04
  1.09755e+00   3.09670e+09  -9.98310e-01   7.06680e+00   1.91067e-11   6.30422e-03   6.57475e-01   2.89645e-03  2.24515e-02   2.24587e-01   7.77763e-02   7.95611e-03  3.71999e-04   2.57841e-06   1.03380e-08   4.64365e-10  3.42984e-06   1.25294e-10   5.07805e-10   9.52218e-07   8.00801e-07   6.72657e-05   5.39036e-06   1.00669e-04
  1.09842e+00   3.29650e+09  -1.25630e+00   7.02100e+00   3.61518e-10   2.01147e-02   6.32375e-01   2.85553e-02  5.03921e-02   2.03886e-01   5.93028e-02   4.99343e-03  2.01219e-04   1.61852e-06   8.96385e-09   3.84349e-10  7.25222e-07   3.36561e-11   1.20870e-10   9.70550e-07   1.25040e-06   4.96698e-05   1.41513e-05   1.10507e-04
  1.09907e+00   3.54440e+09  -1.50170e+00   6.95150e+00   8.17298e-09   7.37315e-02   5.48032e-01   1.37493e-01  8.83062e-02   1.20455e-01   2.97337e-02   1.78312e-03  4.54330e-05   3.36603e-07   2.15025e-09   2.22839e-11  5.24017e-09   1.75697e-13   1.50609e-11   6.60632e-07   4.08935e-06   5.46675e-05   4.50160e-05   3.15100e-04
  1.09953e+00   3.86060e+09  -2.03970e+00   6.89670e+00   1.96067e-17   5.00000e-01   5.00000e-01   9.82892e-17  6.99788e-24   2.97230e-29   3.23559e-29   3.64004e-29  4.04449e-29   4.44894e-29   4.85339e-29   5.25794e-29  2.41062e-27   5.66229e-29   5.76340e-29   2.44697e-28   6.31210e-24   6.55282e-25   2.75493e-27   3.29629e-27
