  m             v             log10(rho)    log10(temp)   he4           c12           o16           ne20         mg24          si28          s32           ar36         ca40          ti44          cr48          fe52         fe54          ni56          ni57          ni58          ni59          ni60          ni61          ni62
  Msol          cm/s          g/cm^3        K
  5.78851e-02   3.45220e+08   2.82340e+00   7.68720e+00   9.75447e-03   2.87085e-06   8.31059e-09   1.58900e-08  2.40656e-08   2.89075e-07   1.38116e-06   1.91247e-06  2.08530e-05   9.41400e-06   1.85155e-05   3.45416e-05  3.67370e-09   9.18326e-01   2.08700e-02   2.16996e-02   9.49726e-04   2.34619e-02   7.08652e-04   4.14019e-03
  6.86726e-02   3.67490e+08   2.80840e+00   7.68370e+00   9.85139e-03   2.87075e-06   8.33050e-09   1.59101e-08  2.41156e-08   2.90106e-07   1.40547e-06   1.94017e-06  2.10140e-05   9.56514e-06   1.85766e-05   3.45136e-05  3.66670e-09   9.18676e-01   2.08320e-02   2.14126e-02   9.45918e-04   2.34228e-02   7.03321e-04   4.06547e-03
  8.04686e-02   3.90080e+08   2.79330e+00   7.67950e+00   1.00179e-02   2.92995e-06   8.53590e-09   1.63071e-08  2.46976e-08   2.97726e-07   1.44317e-06   1.99187e-06  2.14890e-05   9.63120e-06   1.89806e-05   3.57187e-05  3.69599e-09   9.19062e-01   2.07979e-02   2.10144e-02   9.36798e-04   2.33315e-02   7.04132e-04   4.04264e-03
  9.33156e-02   4.12520e+08   2.78000e+00   7.68000e+00   1.01769e-02   2.97605e-06   8.70331e-09   1.66021e-08  2.51667e-08   3.03546e-07   1.46987e-06   2.04538e-06  2.20341e-05   1.00007e-05   1.95946e-05   3.60297e-05  3.71379e-09   9.18960e-01   2.07668e-02   2.07573e-02   9.34341e-04   2.36167e-02   7.05894e-04   3.98721e-03
  1.07157e-01   4.34730e+08   2.76750e+00   7.67710e+00   1.04170e-02   3.07979e-06   9.05093e-09   1.72753e-08  2.62060e-08   3.16030e-07   1.53589e-06   2.13331e-06  2.29624e-05   1.03280e-05   2.01418e-05   3.74602e-05  3.75752e-09   9.19135e-01   2.07170e-02   2.03694e-02   9.28813e-04   2.36640e-02   7.06607e-04   3.96382e-03
  1.22008e-01   4.58560e+08   2.75400e+00   7.66100e+00   1.07120e-02   3.23112e-06   9.56462e-09   1.82655e-08  2.77193e-08   3.35544e-07   1.62951e-06   2.24473e-06  2.42096e-05   1.09511e-05   2.13711e-05   3.98796e-05  3.83743e-09   9.18875e-01   2.07129e-02   1.99863e-02   9.28954e-04   2.39802e-02   7.16803e-04   3.98383e-03
  1.37790e-01   4.80770e+08   2.73360e+00   7.66850e+00   1.10442e-02   3.40487e-06   1.01670e-08   1.93908e-08  2.94348e-08   3.56830e-07   1.72224e-06   2.37667e-06  2.57371e-05   1.16633e-05   2.27805e-05   4.18673e-05  3.92177e-09   9.18531e-01   2.06801e-02   1.95814e-02   9.26877e-04   2.44295e-02   7.27278e-04   3.96934e-03
  1.54497e-01   5.04280e+08   2.72010e+00   7.66330e+00   1.14784e-02   3.65495e-06   1.10113e-08   2.10413e-08  3.19966e-08   3.87660e-07   1.86938e-06   2.58563e-06  2.78387e-05   1.25936e-05   2.43240e-05   4.53933e-05  4.07634e-09   9.18099e-01   2.06522e-02   1.91925e-02   9.27700e-04   2.47841e-02   7.37332e-04   4.01018e-03
  1.72081e-01   5.26550e+08   2.69250e+00   7.66030e+00   1.19616e-02   3.94894e-06   1.20306e-08   2.30459e-08  3.51075e-08   4.26081e-07   2.06234e-06   2.84181e-06  3.02795e-05   1.38290e-05   2.70888e-05   4.99767e-05  4.27601e-09   9.17086e-01   2.06664e-02   1.87755e-02   9.31657e-04   2.56118e-02   7.61843e-04   4.07463e-03
  1.90501e-01   5.48810e+08   2.67860e+00   7.65580e+00   1.25128e-02   4.31168e-06   1.33260e-08   2.55808e-08  3.89809e-08   4.73998e-07   2.28112e-06   3.13301e-06  3.34806e-05   1.52515e-05   2.96867e-05   5.47354e-05  4.51453e-09   9.16268e-01   2.06697e-02   1.83517e-02   9.34915e-04   2.62086e-02   7.82515e-04   4.12820e-03
